Country,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Other,Disasters
Afghanistan,0,8,33,20,7,98,0,0,0,1,28,0,9,0,1,65,205
Albania,0,1,16,2,5,16,0,0,0,0,1,0,2,0,1,10,44
Algeria,0,1,21,2,3,52,0,0,0,2,1,0,4,0,3,12,89
American Samoa,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,6
Angola,0,8,0,20,0,45,0,0,0,0,1,0,0,0,0,29,74
Anguilla,0,1,0,5,0,1,0,0,0,0,0,0,7,0,0,6,14
Antigua and Barbuda,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,1,13
Argentina,0,4,6,2,8,67,0,0,0,0,5,0,23,4,6,29,125
Armenia,0,1,2,0,1,3,0,0,0,0,1,0,4,0,0,3,12
Australia,0,11,3,2,7,67,0,0,0,2,2,0,111,0,42,66,247
Austria,0,0,1,0,6,18,0,0,0,0,8,0,20,0,0,14,53
Azerbaijan,0,1,6,0,1,7,0,0,0,0,1,0,0,0,0,3,16
Azores Islands,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,1,6
Bahamas,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,28
Bahrain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Bangladesh,0,7,9,31,24,97,0,0,0,0,6,0,182,0,0,68,356
Barbados,0,1,1,0,0,2,0,0,0,0,0,0,9,0,0,1,13
Belarus,0,0,0,2,6,4,0,0,0,0,0,0,2,0,0,8,14
Belgium,0,1,2,1,14,24,0,0,0,0,0,0,31,0,0,16,73
Belize,0,0,0,0,1,5,0,0,0,0,0,0,16,0,0,1,22
Benin,0,2,0,26,0,20,0,0,0,0,0,0,1,0,3,31,52
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
Bhutan,0,0,3,2,0,4,0,0,0,0,0,0,2,0,1,3,12
Bolivia,0,13,2,13,5,52,0,0,0,0,9,0,2,1,5,46,102
Bosnia and Herzegovina,0,2,0,1,4,16,0,0,0,0,1,0,2,0,0,8,26
Botswana,0,7,0,3,0,11,0,0,0,1,0,0,1,0,0,11,23
Brazil,0,19,2,18,8,154,0,0,0,1,25,0,20,0,4,75,251
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bulgaria,0,2,6,0,9,21,0,0,0,0,1,0,6,0,5,17,50
Burkina Faso,0,14,0,25,0,23,0,0,0,3,0,0,0,0,0,42,65
Burundi,0,6,1,15,0,30,0,0,0,0,3,0,7,0,0,24,62
Cabo Verde,0,11,0,2,0,1,0,0,0,2,0,0,3,2,0,17,21
Cambodia,0,6,0,9,0,21,0,0,0,0,0,0,6,0,0,15,42
Cameroon,0,5,0,25,0,17,0,0,0,2,2,0,0,3,0,37,54
Canada,0,5,1,7,7,44,0,0,0,0,3,5,47,0,25,52,144
Canary Is,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,2,7
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Central African Republic,0,1,0,13,0,18,0,0,0,0,0,0,10,0,2,16,44
Dem. Rep. Congo.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,11,0,23,0,21,0,0,0,5,1,0,3,0,0,40,64
Chile,0,2,28,1,9,36,0,0,0,0,5,0,15,9,13,39,118
China,0,39,198,10,14,310,0,0,0,1,74,7,318,0,8,153,979
Colombia,0,2,30,6,0,93,0,0,0,1,44,3,11,11,4,71,205
Comoros,0,1,1,6,0,2,0,0,0,0,0,0,9,6,0,13,25
Congo,0,3,5,96,0,48,0,0,0,0,9,0,5,4,3,115,173
Cook Islands,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,3,14
Costa Rica,0,5,17,3,0,30,0,0,0,0,1,0,10,7,2,18,75
Côte d’Ivoire,0,1,0,14,0,14,0,0,0,0,1,0,0,0,0,16,30
