Dis No,Year,Disaster Group,Disaster Type,Country,Continent,Dis Mag Value,Dis Mag Scale,Total Deaths
1960-0013-CHL,1960,Natural,Earthquake,Chile,Americas,10,Richter,6000
1960-0018-USA,1960,Natural,Earthquake,United States of America,Americas,10,Richter,61
1906-0002-COL,1906,Natural,Earthquake,Colombia,Americas,9,Richter,400
1920-0007-CHN,1920,Natural,Earthquake,China,Asia,9,Richter,180000
1922-0001-CHL,1922,Natural,Earthquake,Chile,Americas,9,Richter,1000
1950-0008-IND,1950,Natural,Earthquake,India,Asia,9,Richter,1500
1946-0010-USA,1946,Natural,Earthquake,United States of America,Americas,9,Richter,165
1964-0021-USA,1964,Natural,Earthquake,United States of America,Americas,9,Richter,131
2004-0659-IDN,2004,Natural,Earthquake,Indonesia,Asia,9,Richter,165708
2004-0659-KEN,2004,Natural,Earthquake,Kenya,Africa,9,Richter,1
2004-0659-BGD,2004,Natural,Earthquake,Bangladesh,Asia,9,Richter,2
2004-0659-IND,2004,Natural,Earthquake,India,Asia,9,Richter,16389
2004-0659-LKA,2004,Natural,Earthquake,Sri Lanka,Asia,9,Richter,35399
2005-0160-IDN,2005,Natural,Earthquake,Indonesia,Asia,9,Richter,915
2004-0659-MDV,2004,Natural,Earthquake,Maldives,Asia,9,Richter,102
2004-0659-MYS,2004,Natural,Earthquake,Malaysia,Asia,9,Richter,80
2004-0659-THA,2004,Natural,Earthquake,Thailand,Asia,9,Richter,8345
2004-0659-MMR,2004,Natural,Earthquake,Myanmar,Asia,9,Richter,71
2004-0659-SOM,2004,Natural,Earthquake,Somalia,Africa,9,Richter,298
2004-0659-SYC,2004,Natural,Earthquake,Seychelles,Africa,9,Richter,3
2004-0659-TZA,2004,Natural,Earthquake,Tanzania,Africa,9,Richter,10
2010-0091-CHL,2010,Natural,Earthquake,Chile,Americas,9,Richter,562
2011-0082-IDN,2011,Natural,Earthquake,Indonesia,Asia,9,Richter,1
2011-0082-JPN,2011,Natural,Earthquake,Japan,Asia,9,Richter,19846
2012-0097-IDN,2012,Natural,Earthquake,Indonesia,Asia,9,Richter,7
1902-0012-GTM,1902,Natural,Earthquake,Guatemala,Americas,8,Richter,2000
1905-0003-IND,1905,Natural,Earthquake,India,Asia,8,Richter,20000
1906-0014-CHL,1906,Natural,Earthquake,Chile,Americas,8,Richter,20000
1914-0022-IDN,1914,Natural,Earthquake,Indonesia,Asia,8,Richter,20
1927-0006-CHN,1927,Natural,Earthquake,China,Asia,8,Richter,40912
1933-0021-CHN,1933,Natural,Earthquake,China,Asia,8,Richter,10000
1938-0009-IDN,1938,Natural,Earthquake,Indonesia,Asia,8,Richter,
1939-0001-CHL,1939,Natural,Earthquake,Chile,Americas,8,Richter,30000
1943-0010-CHL,1943,Natural,Earthquake,Chile,Americas,8,Richter,12
1946-0013-CHL,1946,Natural,Earthquake,Chile,Americas,8,Richter,2
1946-0021-DOM,1946,Natural,Earthquake,Dominican Republic,Americas,8,Richter,73
1949-0015-CHL,1949,Natural,Earthquake,Chile,Americas,8,Richter,6
1953-0012-CHL,1953,Natural,Earthquake,Chile,Americas,8,Richter,12
1955-0038-CHN,1955,Natural,Earthquake,China,Asia,8,Richter,39
1956-0037-GRC,1956,Natural,Earthquake,Greece,Europe,8,Richter,53
1956-0008-AFG,1956,Natural,Earthquake,Afghanistan,Asia,8,Richter,100
1965-0093-IDN,1965,Natural,Earthquake,Indonesia,Asia,8,Richter,71
1966-0090-CHL,1966,Natural,Earthquake,Chile,Americas,8,Richter,4
1968-0064-IDN,1968,Natural,Earthquake,Indonesia,Asia,8,Richter,200
1971-0042-CHL,1971,Natural,Earthquake,Chile,Americas,8,Richter,85
1976-0050-CHN,1976,Natural,Earthquake,China,Asia,8,Richter,242000
1976-0024-GTM,1976,Natural,Earthquake,Guatemala,Americas,8,Richter,23000
1977-0106-IDN,1977,Natural,Earthquake,Indonesia,Asia,8,Richter,185
1901-0004-JPN,1901,Natural,Earthquake,Japan,Asia,8,Richter,18
1906-0013-USA,1906,Natural,Earthquake,United States of America,Americas,8,Richter,700
1909-0007-IRN,1909,Natural,Earthquake,Iran,Asia,8,Richter,5000
1912-0006-TUR,1912,Natural,Earthquake,Turkey,Asia,8,Richter,923
1915-0002-ITA,1915,Natural,Earthquake,Italy,Europe,8,Richter,29980
1918-0011-PHL,1918,Natural,Earthquake,Philippines,Asia,8,Richter,100
1918-0008-PRI,1918,Natural,Earthquake,Puerto Rico,Americas,8,Richter,116
1923-0006-JPN,1923,Natural,Earthquake,Japan,Asia,8,Richter,143000
1929-0013-NZL,1929,Natural,Earthquake,New Zealand,Oceania,8,Richter,17
1930-0006-MMR,1930,Natural,Earthquake,Myanmar,Asia,8,Richter,500
1931-0011-SLB,1931,Natural,Earthquake,Solomon Islands,Oceania,8,Richter,50
1933-0001-JPN,1933,Natural,Earthquake,Japan,Asia,8,Richter,3000
1935-0005-PAK,1935,Natural,Earthquake,Pakistan,Asia,8,Richter,60000
1939-0010-TUR,1939,Natural,Earthquake,Turkey,Asia,8,Richter,32962
1940-0009-PER,1940,Natural,Earthquake,Peru,Americas,8,Richter,179
1943-0014-TUR,1943,Natural,Earthquake,Turkey,Asia,8,Richter,4020
1944-0026-JPN,1944,Natural,Earthquake,Japan,Asia,8,Richter,1223
1944-0003-TUR,1944,Natural,Earthquake,Turkey,Asia,8,Richter,3959
1945-0007-PAK,1945,Natural,Earthquake,Pakistan,Asia,8,Richter,4000
1946-0015-JPN,1946,Natural,Earthquake,Japan,Asia,8,Richter,2000
1947-0013-PER,1947,Natural,Earthquake,Peru,Americas,8,Richter,233
1948-0014-PHL,1948,Natural,Earthquake,Philippines,Asia,8,Richter,72
1952-0022-JPN,1952,Natural,Earthquake,Japan,Asia,8,Richter,33
1952-0004-USA,1952,Natural,Earthquake,United States of America,Americas,8,Richter,12
1957-0009-MEX,1957,Natural,Earthquake,Mexico,Americas,8,Richter,160
1957-0012-MNG,1957,Natural,Earthquake,Mongolia,Asia,8,Richter,1200
1960-0007-PER,1960,Natural,Earthquake,Peru,Americas,8,Richter,63
1966-0082-PER,1966,Natural,Earthquake,Peru,Americas,8,Richter,120
1970-0032-PER,1970,Natural,Earthquake,Peru,Americas,8,Richter,66794
1973-0014-MEX,1973,Natural,Earthquake,Mexico,Americas,8,Richter,56
1974-0050-PER,1974,Natural,Earthquake,Peru,Americas,8,Richter,78
1975-0043-SLB,1975,Natural,Earthquake,Solomon Islands,Oceania,8,Richter,200
1976-0054-PHL,1976,Natural,Earthquake,Philippines,Asia,8,Richter,6000
1976-0021-NZL,1976,Natural,Earthquake,New Zealand,Oceania,8,Richter,
1977-0048-ROU,1977,Natural,Earthquake,Romania,Europe,8,Richter,1641
1978-0080-JPN,1978,Natural,Earthquake,Japan,Asia,8,Richter,28
1979-0113-COL,1979,Natural,Earthquake,Colombia,Americas,8,Richter,579
1985-0041-CHL,1985,Natural,Earthquake,Chile,Americas,8,Richter,180
1988-0502-CHN,1988,Natural,Earthquake,China,Asia,8,Richter,939
1978-0135-MEX,1978,Natural,Earthquake,Mexico,Americas,8,Richter,9
1979-0086-IDN,1979,Natural,Earthquake,Indonesia,Asia,8,Richter,2
1979-0032-MEX,1979,Natural,Earthquake,Mexico,Americas,8,Richter,5
