Dis No,Year,Disaster Group,Disaster Type,Country,Continent,Dis Mag Value,Dis Mag Scale,Total Deaths
1906-0023-BEL,1906,Natural,Flood,Belgium,Europe,,Km2,6
1906-0024-BEL,1906,Natural,Flood,Belgium,Europe,,Km2,
1911-0002-CHN,1911,Natural,Flood,China,Asia,,Km2,100000
1915-0011-CHN,1915,Natural,Flood,China,Asia,3000,Km2,
1917-0013-CHN,1917,Natural,Flood,China,Asia,,Km2,
1920-0005-DFR,1920,Natural,Flood,Germany Fed Rep,Europe,,Km2,
1925-0007-DFR,1925,Natural,Flood,Germany Fed Rep,Europe,,Km2,
1926-0018-BEL,1926,Natural,Flood,Belgium,Europe,,Km2,
1926-0006-DFR,1926,Natural,Flood,Germany Fed Rep,Europe,,Km2,
1926-0008-IND,1926,Natural,Flood,India,Asia,,Km2,
1927-0012-DZA,1927,Natural,Flood,Algeria,Africa,,Km2,3000
1928-0022-BEL,1928,Natural,Flood,Belgium,Europe,,Km2,
1930-0021-BEL,1930,Natural,Flood,Belgium,Europe,,Km2,
1931-0007-CHN,1931,Natural,Flood,China,Asia,,Km2,3700000
1933-0013-CHN,1933,Natural,Flood,China,Asia,,Km2,18000
1935-0019-CHN,1935,Natural,Flood,China,Asia,150000,Km2,142000
1939-0006-CHN,1939,Natural,Flood,China,Asia,,Km2,500000
1948-0027-BRA,1948,Natural,Flood,Brazil,Americas,,Km2,200
1948-0020-CHN,1948,Natural,Flood,China,Asia,,Km2,330
1949-0025-CHN,1949,Natural,Flood,China,Asia,,Km2,57000
1949-0012-GTM,1949,Natural,Flood,Guatemala,Americas,,Km2,40000
1950-0017-CAN,1950,Natural,Flood,Canada,Americas,,Km2,1
1950-0007-CHN,1950,Natural,Flood,China,Asia,,Km2,500
1950-0023-ECU,1950,Natural,Flood,Ecuador,Americas,,Km2,50
1950-0006-IND,1950,Natural,Flood,India,Asia,,Km2,45
1951-0018-CHN,1951,Natural,Flood,China,Asia,,Km2,4800
1952-0026-DZA,1952,Natural,Flood,Algeria,Africa,,Km2,25
1952-0005-GBR,1952,Natural,Flood,United Kingdom,Europe,,Km2,34
1953-0025-BEL,1953,Natural,Flood,Belgium,Europe,,Km2,11
1953-0039-ECU,1953,Natural,Flood,Ecuador,Americas,,Km2,71
1953-0055-ESP,1953,Natural,Flood,Spain,Europe,,Km2,50
1953-0038-IDN,1953,Natural,Flood,Indonesia,Asia,,Km2,114
1954-0010-CHN,1954,Natural,Flood,China,Asia,,Km2,2000
1954-0014-CHN,1954,Natural,Flood,China,Asia,,Km2,30000
1954-0034-EGY,1954,Natural,Flood,Egypt,Africa,,Km2,
1955-0037-AUS,1955,Natural,Flood,Australia,Oceania,,Km2,70
1956-0039-AFG,1956,Natural,Flood,Afghanistan,Asia,,Km2,51
1956-0028-BEL,1956,Natural,Flood,Belgium,Europe,,Km2,4
1956-0001-CHN,1956,Natural,Flood,China,Asia,,Km2,2000
1957-0042-BRA,1957,Natural,Flood,Brazil,Americas,,Km2,112
1957-0033-CHN,1957,Natural,Flood,China,Asia,,Km2,560
1957-0040-ESP,1957,Natural,Flood,Spain,Europe,,Km2,77
1958-0036-ARG,1958,Natural,Flood,Argentina,Americas,,Km2,360
1958-0039-FRA,1958,Natural,Flood,France,Europe,,Km2,35
1959-0006-CHN,1959,Natural,Flood,China,Asia,,Km2,2000000
1959-0047-BRA,1959,Natural,Flood,Brazil,Americas,,Km2,100
1959-0034-CHN,1959,Natural,Flood,China,Asia,,Km2,187
1959-0035-COL,1959,Natural,Flood,Colombia,Americas,,Km2,184
1959-0031-HTI,1959,Natural,Flood,Haiti,Americas,,Km2,50
1960-0001-BGD,1960,Natural,Flood,Bangladesh,Asia,,Km2,10000
1960-0040-HKG,1960,Natural,Flood,Hong Kong,Asia,,Km2,15
1961-0030-HKG,1961,Natural,Flood,Hong Kong,Asia,,Km2,
1962-0033-COL,1962,Natural,Flood,Colombia,Americas,,Km2,135
1962-0008-ESP,1962,Natural,Flood,Spain,Europe,,Km2,445
1962-0039-HTI,1962,Natural,Flood,Haiti,Americas,,Km2,26
1963-0065-AFG,1963,Natural,Flood,Afghanistan,Asia,,Km2,107
1963-0069-BGD,1963,Natural,Flood,Bangladesh,Asia,,Km2,30
1963-0037-DZA,1963,Natural,Flood,Algeria,Africa,,Km2,
1963-0034-HTI,1963,Natural,Flood,Haiti,Americas,,Km2,500
1964-0039-BGD,1964,Natural,Flood,Bangladesh,Asia,,Km2,
1964-0005-BRA,1964,Natural,Flood,Brazil,Americas,,Km2,100
1964-0022-BRA,1964,Natural,Flood,Brazil,Americas,,Km2,
1964-0041-BRA,1964,Natural,Flood,Brazil,Americas,,Km2,
1964-0019-FJI,1964,Natural,Flood,Fiji,Oceania,,Km2,1
1965-0071-BOL,1965,Natural,Flood,Bolivia,Americas,,Km2,40
1965-0030-BRA,1965,Natural,Flood,Brazil,Americas,,Km2,16
1965-0047-BRA,1965,Natural,Flood,Brazil,Americas,,Km2,6
